category,n_pairs,qty_pct,net_now,t_net,net_pct,d_disc,elasticity,net_later,t_cann,p,significant_bh,net_total,verdict
COLD CEREAL,474,24.609438821877085,0.2513294459242811,3.0829615950538236,5.741369680888069,15.053365100734375,1.634813123656751,-0.03505418109644261,-0.16182853911979342,0.002049516029335628,True,0.2513294459242811,확대
BROCCOLI/CAULIFLOWER,180,13.32431495970826,-0.30809851994018506,-5.5304723674785174,-13.433288135311502,21.442016296749458,0.621411474336403,-0.04306783638119648,-0.36918874509678923,3.193696059133588e-08,True,-0.30809851994018506,축소
TROPICAL FRUIT,940,7.2788205043411836,-0.269876898606398,-14.035810338932317,-20.998081247127708,29.031722450675986,0.25071955398814794,-0.07189089487350667,-1.288494679520138,9.411447526099985e-45,True,-0.269876898606398,축소
HOT DOGS,260,19.518078606290995,-0.03805754962217744,-0.3014614131216622,-1.1949766608421584,16.813623534563398,1.1608490321059055,-0.1819006454203511,-1.1278057708284779,0.7630626700293646,False,-0.03805754962217744,불확실
MARGARINES,105,21.793411938043977,-0.07656869079459566,-0.9777787258627724,-4.2461652873283064,22.820910963530128,0.9549755473334002,0.1002225707433307,0.5506233731885114,0.3281837751122014,False,-0.07656869079459566,불확실
BACON,209,20.965128361141417,-0.18031490049246804,-1.7284376102802725,-4.222317069232819,20.67564437041984,1.0140012076787186,-0.04449132102790405,-0.20517481466426105,0.08390979745360752,False,-0.18031490049246804,불확실
FROZEN PIZZA,621,21.829059824531996,0.7131734400853085,6.140819169656124,11.869474256202759,11.134086844763562,1.9605613041179353,0.053752325160504724,0.20731326135217837,8.209700008166861e-10,True,0.7131734400853085,확대
DINNER MXS:DRY,139,41.21330020047457,0.16126033576554852,1.1318380435197481,4.744897336709019,24.46621536775064,1.6844983819932595,0.060524995414747006,0.14797321631023294,0.25770253024516954,False,0.16126033576554852,불확실
DELI MEATS,568,15.317817922586377,0.9471666809606457,9.06885334595671,16.25165699350132,6.152889505621325,2.489532423520999,-0.12271733372282889,-0.4977438406327264,1.202760480288407e-19,True,0.9471666809606457,확대
FRZN BREAKFAST FOODS,126,15.58563925043455,0.1620832227041477,1.168034806047872,4.413151830307042,8.105095911942941,1.9229432223582885,-0.14171160037471162,-0.4089720267880669,0.2427927254923271,False,0.1620832227041477,불확실
FRZN POTATOES,155,5.581357837035956,-0.1862818787033486,-2.6062006655634997,-6.958493980525729,13.691261633176339,0.4076584018752036,0.19927663350881675,1.1280921168850377,0.009155280774947129,True,-0.1862818787033486,축소
