category,n_pairs,visit28_diff,t_visit,spend28_diff,t_spend,quadrant,visit28_ci_low,visit28_ci_high,spend28_ci_low,spend28_ci_high
CARROTS,218,0.0095342429742792,0.0763976371093708,-7.348850653014875,-1.2369662615327246,Q2 방문증가·지출감소,-0.2350690842573572,0.2541375702059156,-18.993264674510883,4.295563368481131
REFRGRATD JUICES/DRNKS,655,-0.0480040968983639,-0.5885823285167426,-5.976591926724477,-1.632530578640989,Q4 약화,-0.20785943974887022,0.11185124595214241,-13.152028840213394,1.1988449867644402
SALAD MIX,572,-0.0669123827839284,-0.7975126279945662,-5.232542408794197,-1.394626723478303,Q4 약화,-0.23135902055853835,0.09753425499068154,-12.586326004492076,2.1212411869036822
REFRGRATD DOUGH PRODUCTS,434,-0.0148222095507671,-0.1398161801961348,-0.8663355417285735,-0.1723350704655696,Q4 약화,-0.22260596303873892,0.19296154393720472,-10.719336774737888,8.98666569128074
COOKIES,96,-0.0400944742410185,-0.1680372967950044,-4.631456312766232,-0.3412895648134255,Q4 약화,-0.5077595165337753,0.4275705680517383,-31.229557482323944,21.96664485679148
MEAT - SHELF STABLE,146,-0.2775042614539855,-1.3870977420181705,-18.303273290153182,-1.799262602737968,Q4 약화,-0.6696239628806833,0.11461543997271223,-38.241672273219656,1.6351256929132916
SEAFOOD - FROZEN,233,-0.1767474644471011,-1.1662225926293874,1.0230798620233523,0.1348139956334992,Q3 방문감소·지출증가,-0.47379627185809603,0.12030134296389383,-13.851017742925169,15.897177466971872
CHEESES,128,0.2829997439455518,1.397381793126819,11.382434180148106,1.0109916244859571,Q1 강화,-0.11394223773872053,0.6799417256298241,-10.684584430845511,33.449452791141724
PEARS,75,-0.1491481116481117,-0.6448941526341474,-1.9244256444256416,-0.1564537417222692,Q4 약화,-0.6024477696404207,0.3041515463441973,-26.03298464437559,22.184133355524303
SHORTENING/OIL,88,-0.1404814670573545,-0.5291182369336714,8.508912656906537,0.5678301913537894,Q3 방문감소·지출증가,-0.6608635975771366,0.37990066346242757,-20.86160877974922,37.87943409356229
SEAFOOD - SHELF STABLE,148,-0.1003796880626703,-0.4351248287023749,-5.596918682682045,-0.538684615872461,Q4 약화,-0.5525354273468717,0.35177605122153105,-25.961266011015727,14.767428645651638
HOT CEREAL,115,0.0014108912225934,0.0082861039866558,1.6075556828296114,0.1741447850256909,Q1 강화,-0.3323221636288138,0.3351439460740006,-16.485487630992342,19.700598996651568
DEODORANTS,64,-0.0044022817460316,-0.0133340535798041,13.28673493303571,0.7439046362984346,Q3 방문감소·지출증가,-0.6515027430259167,0.6426981795338534,-21.720440984473477,48.2939108505449
HOT DOGS,414,0.166713229469387,1.5231847813195896,4.549468982229162,0.8998754856872075,Q1 강화,-0.04780961356802596,0.3812360725067999,-5.359634384843392,14.458572349301715
HISPANIC,254,0.1169907335483521,0.7627211101258551,-2.82105989819043,-0.4417933136386998,Q2 방문증가·지출감소,-0.18364580936434305,0.41762727646104725,-15.33658973931226,9.694469942931399
FROZEN PIZZA,524,-0.0807778339544908,-0.8194970243606844,-1.486492873274906,-0.3148283731714479,Q4 약화,-0.2739750632846595,0.11241939537567787,-10.740824057815825,7.767838311266012
NEWSPAPER,31,0.5541479353979353,1.2977054731526558,26.75209028471528,1.3625418821675186,Q1 강화,-0.2828138990476732,1.3911097698435437,-11.730467678662912,65.23464824809346
DINNER MXS:DRY,398,-0.0137549940872378,-0.1132463218588119,0.9971609610293748,0.1848521561552226,Q3 방문감소·지출증가,-0.25181825272973735,0.22430826455526176,-9.575804614640791,11.57012653669954
